央视频道,#genre#
甘肃卫视,http://1.195.30.9:19901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://1.195.30.9:19901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://1.195.30.9:19901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0


港澳台,#genre#
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
美亚电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya


纪录片,#genre#
航拍中国第一季,http://newcntv.qcloudcdn.com/asp/hls/4000/0303000a/3/default/8edf3fb6a69148ea9a7dc0b5a9d99fdb/4000.m3u8
航拍中国第一季,http://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/8edf3fb6a69148ea9a7dc0b5a9d99fdb/4000.m3u8
航拍中国第二季,http://newcntv.qcloudcdn.com/asp/hls/4000/0303000a/3/default/2bdfdad540b342f592f9817cb7f3b79a/4000.m3u8
舌尖上的中国第1季,https://lunbo.freetv.top/yy/1354930952
舌尖上的中国第2季,https://lunbo.freetv.top/yy/1354930943


电影频道,#genre#
周星驰,http://huanqiuzhibo.cn/manifest/douyu.php?id=122402
林正英电影,http://zzy789.xyz/douyu1.php?id=218859
邵氏影院,http://zzy789.xyz/douyu1.php?id=4246519
华语经典,http://zzy789.xyz/douyu1.php?id=434971
神乐影片,http://zzy789.xyz/douyu1.php?id=85894
可乐电影,http://zzy789.xyz/douyu1.php?id=20415
奶虫恐怖电影,http://zzy789.xyz/douyu1.php?id=263824
恐怖经典,http://zzy789.xyz/douyu1.php?id=1165374
变种人电影,http://zzy789.xyz/douyu1.php?id=9651304
华语电影,http://zzy789.xyz/douyu1.php?id=3928
冰冰经典,http://zzy789.xyz/douyu1.php?id=74374
凌儿影院,http://zzy789.xyz/douyu1.php?id=1377142
恐怖惊悚,http://zzy789.xyz/douyu1.php?id=96577
特辑影院,http://zzy789.xyz/douyu1.php?id=3637778
特辑电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=3637778
粤语电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=1226741
喜剧电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=323876
恐怖电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=218859
恐怖鬼怪,http://huanqiuzhibo.cn/manifest/douyu.php?id=1165374
童年阴影,http://huanqiuzhibo.cn/manifest/douyu.php?id=2935323
惊悚电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=96577
华语影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=3928
神乐影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=85894
冰冰影厅,http://huanqiuzhibo.cn/manifest/douyu.php?id=74374
刀刀影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=747764
奶虫影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=263824
凌儿影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=1377142
花卷影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=52787
橙记港剧,http://huanqiuzhibo.cn/manifest/douyu.php?id=4549169
大宝影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=805235
蚂蚱影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=6079455
怡宝影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=434971
圆子影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=6566658
贝贝影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=431460
可乐影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=20415
下饭神剧,http://huanqiuzhibo.cn/manifest/douyu.php?id=276200
古装神剧,http://huanqiuzhibo.cn/manifest/douyu.php?id=338759
热门港剧,http://huanqiuzhibo.cn/manifest/douyu.php?id=5522351
欢乐综艺,http://huanqiuzhibo.cn/manifest/douyu.php?id=131977
万合出品,http://huanqiuzhibo.cn/manifest/douyu.php?id=9220456
漫威影片,http://zzy789.xyz/douyu1.php?id=6140589
漫威影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=6140589
哈利波特,http://wab201.win:35455/yy/1382745105
贝爷MAX厅,http://zzy789.xyz/douyu1.php?id=4332
贝爷影厅1,http://zzy789.xyz/douyu1.php?id=252802
贝爷影厅2,http://zzy789.xyz/douyu1.php?id=36337
贝爷壹厅,http://huanqiuzhibo.cn/manifest/douyu.php?id=252802
贝爷贰厅,http://huanqiuzhibo.cn/manifest/douyu.php?id=4332
贝爷叁厅,http://huanqiuzhibo.cn/manifest/douyu.php?id=36337

电视剧频道,#genre#
白鹿原,http://cdn.jdshipin.com:8880/huya.php?id=11342416
庆余年,http://rihou.cc:555/huyad.php?id=11352960
射雕英雄传,http://wab201.win:35455/yy/1354210357
与凤行,http://cdn.jdshipin.com:8880/huya.php?id=26355866
延禧攻略,http://cdn.jdshipin.com:8880/huya.php?id=26355864
芈月传,http://cdn.jdshipin.com:8880/huya.php?id=11352975
士兵突击,http://rihou.cc:555/huyad.php?id=11342430
士兵突击,http://cdn.jdshipin.com:8880/huya.php?id=11342430
勇敢的心,http://jiaojirentv.top/2020/yy.php?id=1354744544
勇敢的心,http://cdn.jdshipin.com:8880/huya.php?id=11602037
勇敢的心,http://120.77.28.4:8648/yy.php?id=1354744544
大江大河,http://dl.wifi942.com:66/jsyd/jsyd.php?id=GITV-JS-43
白鹿原,http://cdn.jdshipin.com:8880/huya.php?id=11342416
神雕侠侣,http://rihou.cc:555/huyad.php?id=11352964
神雕侠侣,http://1.94.31.214:35455/huya/23865171
神雕侠侣,https://live.metshop.top/huya/23865171
神雕侠侣,http://120.77.28.4:8648/yy.php?id=1382704651
倚天屠龙记,http://rihou.cc:555/huyad.php?id=23734246
倚天屠龙记,http://1.94.31.214:35455/huya/23734246
父母爱情,http://cdn.jdshipin.com:8880/huya.php?id=11602071
西游记后传,http://jiaojirentv.top/2020/yy.php?id=1382736846
西游记后传,http://1.94.31.214:35455/yy/1353392400
西游记后传,http://120.77.28.4:8648/yy.php?id=1382736846
少年包青天,http://jiaojirentv.top/2020/yy.php?id=38498680
少年包青天,https://live.metshop.top/yy/38498680
宰相刘罗锅,http://120.77.28.4:8648/yy.php?id=1382745191
神医喜来乐,http://jiaojirentv.top/2020/yy.php?id=1382714119
神医喜来乐,http://cdn.jdshipin.com:8880/huya.php?id=11601978
神医喜来乐,http://120.77.28.4:8648/yy.php?id=1382714119
伪装者,http://jiaojirentv.top/2020/yy.php?id=1354936244
伪装者,http://1.94.31.214:35455/yy/1354936244
伪装者,http://120.77.28.4:8648/yy.php?id=1354936244
雍正王朝,http://cdn.jdshipin.com:8880/huya.php?id=11342439
雍正王朝,http://120.77.28.4:8648/yy.php?id=26650882
神探狄仁杰,http://120.77.28.4:8648/yy.php?id=1351755386
神探狄仁杰2,http://rihou.cc:555/huyad.php?id=11342425
隋唐英雄传,http://jiaojirentv.top/2020/yy.php?id=1352475619
隋唐英雄传,http://1.94.31.214:35455/yy/1352475619
隋唐英雄传,http://120.77.28.4:8648/yy.php?id=1352475619
仙剑奇侠传,http://1.94.31.214:35455/yy/1382749903
狂飙,http://jiaojirentv.top/2020/yy.php?id=1355142167
狂飙,http://1.94.31.214:35455/yy/1355142167
狂飙,http://dl.wifi942.com:66/jsyd/jsyd.php?id=GITV-JS-41
欢乐颂,http://zzy789.xyz/douyu1.php?id=3756989
武林外传,http://jiaojirentv.top/2020/yy.php?id=1355652820
武林外传,http://cdn.jdshipin.com:8880/huya.php?id=21059598
武林外传,http://120.77.28.4:8648/yy.php?id=1355652820
爱情公寓,http://rihou.cc:555/huyad.php?id=11336726
爱情公寓,http://huanqiuzhibo.cn/manifest/douyu.php?id=2838296
爱情公寓,http://cdn.jdshipin.com:8880/huya.php?id=11336726
爱情公寓,https://live.metshop.top/douyu/2838296
康熙微服私访记,http://cdn.jdshipin.com:8880/huya.php?id=11342418
我的前半生,http://jiaojirentv.top/2020/yy.php?id=1382735564
济公游记,http://jiaojirentv.top/2020/yy.php?id=1355265814
济公游记,http://120.77.28.4:8648/yy.php?id=1355265814
我爱我家,http://jiaojirentv.top/2020/yy.php?id=1382735557
我爱我家,http://120.77.28.4:8648/yy.php?id=1382735557
情满四合院,http://jiaojirentv.top/2020/yy.php?id=1382735541
情满四合院,http://120.77.28.4:8648/yy.php?id=1382735541
康熙王朝,http://cdn.jdshipin.com:8880/huya.php?id=11352940
新三国,http://120.77.28.4:8648/yy.php?id=23512910


春晚,#genre#
